Бренд;Артикул;Назва;Посилання на фото
Skin Lab;24213;Глибоко очищуюча ензимна пудра з вітаміном C 65 g Jerelia Skin Lab (24213);https://cdn1.jerelia.com/Pictures/jerelia_24213_1_163180601.png
On the Go;08602;Заспокійливий гель після гоління для чутливої шкіри 150 ml Jerelia On the Go (08602);https://cdn1.jerelia.com/Pictures/jerelia_08602_1.png
On the Go;08604;Шампунь для профілактики лупи REAL MAN 250 ml Jerelia On the Go (08604);https://cdn1.jerelia.com/Pictures/jerelia_08604_1.png
Prochee;10128;"Свічка ароматизована ""Кришталь"" 1 pcs Jerelia Prochee (10128)";https://cdn1.jerelia.com/Pictures/jerelia_10128_1_161447711.png
Oselya;52459;Серветка з мікрофібри універсальна для всіх поверхонь 1 pcs Jerelia Oselya (52459);https://cdn1.jerelia.com/Pictures/jerelia_52459_4_165946415.png
PODIUM;21714;"Рум’яна компактні PODIUM ""Балканський теракот"" 7 g Jerelia PODIUM (21714)";https://cdn1.jerelia.com/Pictures/jerelia_21713_1.png
PODIUM;21716;"Рум’яна компактні PODIUM ""Азійська троянда"" 7 g Jerelia PODIUM (21716)";https://cdn1.jerelia.com/Pictures/jerelia_21713_1.png
Bliss;91106;"Лосьйон вуаль для тіла і рук  ""Cherry Orchid"" 300 ml Jerelia Bliss (91106)";https://cdn1.jerelia.com/Pictures/jerelia_91106_1_169865660.png
Bliss;91104;"Лосьйон вуаль для тіла і рук ""Aqua Symphony"" 300 ml Jerelia Bliss (91104)";https://cdn1.jerelia.com/Pictures/jerelia_91104_1_169865508.png
Bliss;91107;"Парфумоване освіжаюче мило ""Aqua Symphony"" 300 ml Jerelia Bliss (91107)";https://cdn1.jerelia.com/Pictures/jerelia_91107_1_169865430.png
Bliss;91109;"Парфумоване освіжаюче мило ""Cherry Orchid"" 300 ml Jerelia Bliss (91109)";https://cdn1.jerelia.com/Pictures/jerelia_91109_1_169865676.png
Bliss;91102;"Парфумований гель для душу ""Aqua Symphony"" 300 ml Jerelia Bliss (91102)";https://cdn1.jerelia.com/Pictures/jerelia_91102_1_169865467.png
Bliss;91101;"Парфумований гель для душу ""Cherry Orchid"" 300 ml Jerelia Bliss (91101)";https://cdn1.jerelia.com/Pictures/jerelia_91101_1_169865526.png
